MIBiG name	MIBiG SMILES	MIBiG Inchikey	MIBiG BGC ID	NPAID	NPA name	Curated name	Curated SMILES	Curated Source Database ID	Curated doi	Curated origin	Notes
nogalamycin R	OC1=C([C@@H](O[C@H]2[C@H](OC)[C@@](O)(C)[C@@H](O)[C@H](C)O2)C[C@@](O)(C)[C@@H]3C(OC)=O)C3=CC4=C1C(C5=C(O)C=C6C(O[C@@H]7O[C@@]6(C)[C@@H](O)[C@@H](N(C)C)C7)=C5C4=O)=O	NHESIPFEBGVKRK-KYNVALEASA-N	BGC0000250								Isolation reference hard to find
nonactin	C[C@@H]1C[C@H]2CC[C@H](O2)[C@@H](C(=O)O[C@H](C[C@@H]3CC[C@@H](O3)[C@H](C(=O)O[C@@H](C[C@H]4CC[C@H](O4)[C@@H](C(=O)O[C@H](C[C@@H]5CC[C@@H](O5)[C@H](C(=O)O1)C)C)C)C)C)C)C	RMIXHJPMNBXMBU-QIIXEHPYSA-N	BGC0000252								Isolation reference hard to find
oviedomycin	CC1=C(C2=CC(=C3C(=C2C(=O)C1=O)C(=O)C4=C(C3=O)C(=CC=C4)O)O)O	SKUDQXAQMMVQKR-UHFFFAOYSA-N	BGC0000253	NPA018728	Oviedomycin						
oxytetracycline	C[C@@]1([C@H]2[C@@H]([C@H]3[C@@H](C(=O)/C(=C(\N)/O)/C(=O)[C@]3(C(=O)C2=C(C4=C1C=CC=C4O)O)O)N(C)C)O)O	FYDOORKXBWEKQM-GUQPPTOYSA-N	BGC0000254								Isolation reference hard to find
pederin	C[C@H]1[C@H](O[C@](CC1=C)([C@@H](C(=O)N[C@H]([C@@H]2C[C@H](C([C@H](O2)C[C@@H](COC)OC)(C)C)O)OC)O)OC)C	ZNEZZONMADKYTB-VRCUBXEUSA-N	BGC0000255						10.1128/JB.186.5.1280-1286.2004	Pseudomonas aeruginosa 	
pradimicin	C[C@@H]1[C@@H]([C@@H]([C@H]([C@@H](O1)O[C@@H]2[C@H](C3=C(C4=C(C(=C(C=C24)C)C(=O)N[C@H](C)C(=O)O)O)C(=C5C(=C3)C(=O)C6=C(C=C(C=C6C5=O)OC)O)O)O)O)O[C@H]7[C@@H]([C@H]([C@@H](CO7)O)O)O)NC	WPICPWIIIBCXCV-NJGWPHBESA-N	BGC0000256	NPA008193	Pradimicin-A						
prodigiosin	CCCCCC1=C(NC(=C1)/C=C\2/C(=C/C(=C/3\C=CC=N3)/N2)OC)C	WKGQSEFBQTWRPT-UUPRNIFOSA-N	BGC0000257								Isolation reference hard to find
R1128			BGC0000261			R1128-A	O=C1C2=C(C=C(O)C=C2O)C(C3=CC(O)=CC(CCC)=C31)=O		https://doi.org/10.7164/antibiotics.46.1063	Streptomyces sp. No. 1128	B, C and D are also in this paper
prejadomycin	OC1=CC=CC2=C1C(O)=C(C(C[C@@](CC(C)=C3)(O)[C@]4([H])C3=O)=O)C4=C2	DAZPSZLIQWNPOM-PKOBYXMFSA-N	BGC0000262								Hard to find. Biosynthetic engineering?
rabelomycin	O=C(C1=C2C3=C(C[C@@](C)(O)CC3=O)C=C1O)C4=C(O)C=CC=C4C2=O	JJOLHRYZQSDLSA-LJQANCHMSA-N	BGC0000262	NPA019619	Rabelomycin						
gaudimycin C	O=C1C2=C([C@@H](O)C[C@](O)(CC(C)=C3)[C@]2(O)C3=O)C(C4=C(O)C=CC=C41)=O	XKRMMVFULPCHPV-SYURPWHHSA-N	BGC0000262								 biosynthetic engineering: https://doi.org/10.1016/j.chembiol.2007.12.011
gaudimycin D	O=C1C2=C(C=CC(C[C@](C)(O[C@@H]3O[C@H](C)[C@@H](N)CC3)CC(O)=O)=C2O)C(C4=C(O)C=CC=C41)=O	PPOMLWFLRKCABK-YQDWXIMQSA-N	BGC0000262						https://doi.org/10.1016/j.ymben.2014.12.006	Streptomyces sp. PGA64 	
UWM6	OC1=C(C(O)=C(C(C[C@@](C[C@@](C)(O)C2)(O)[C@]3([H])C2=O)=O)C3=C4)C4=CC=C1	NNTVQEYUUGBASA-WDSOQIARSA-N	BGC0000262								biosynthetic engineering: https://doi.org/10.1002/ejoc.201101609
gaudimycin A	OC1=C(C(C(CC[C@@](CC(C)=C2)(O)[C@]3(O)C2=O)=C3C4=O)=O)C4=CC=C1	KLNNAJPQYUHCLI-OALUTQOASA-N	BGC0000262						https://doi.org/10.1002/cbic.200700140	Streptomyces lividans TK24	
ravidomycin	C[C@@H]1[C@@H]([C@@H]([C@H](C(O1)C2=C3C(=C(C=C2)O)C(=CC4=C3OC(=O)C5=CC(=CC(=C54)OC)C=C)OC)O)N(C)C)OC(=O)C	GHLIFBNIGXVDHM-VQXSZRIGSA-N	BGC0000263						https://doi.org/10.1139/v81-438	Streptomyces ravidus	
resistomycin	CC1=CC(=C2C3=C4C(=CC(=C13)O)C(C(=O)C5=C(C=C(C(=C45)C2=O)O)O)(C)C)O	ABLACSIRCKEUOB-UHFFFAOYSA-N	BGC0000264						10.1021/jo01284a072	Streptomyces resistomycificus 	
resistoflavin	CC1=CC(=C2C3=C1C(=O)C=C4C3(C5=C(C2=O)C(=CC(=C5C(=O)C4(C)C)O)O)O)O	FRXZTKQCZPGFDX-UHFFFAOYSA-N	BGC0000264	NPA019089	Resistoflavine						
rhodomycin	CC[C@]1(C[C@@H](C2=C(C3=C(C(=C2[C@H]1OC4CC(C(C(O4)C)O)N(C)C)O)C(=O)C5=C(C3=O)C(=CC=C5)O)O)OC6CC(C(C(O6)C)O)N(C)C)O	NWPIUETWDSWOKV-QROLFQDOSA-N	BGC0000265								Not a compound name- this is a compound class
rubromycin	COC1=CC(=C(C2=C1C(=O)C3=C(C2=O)OC(=C3)CCC4=C(C(=C5C(=C4)C=C(OC5=O)C(=O)OC)O)O)O)OC	LQNGOIZVRFNQLO-UHFFFAOYSA-N	BGC0000266	NPA011658	Œ±-Rubromycin = Collinomycin						
Saquayamycin Z			BGC0000267	NPA002196	Saquayamycin Z						
Sch47554	CC1C(CCC(O1)C2=C(C3=C(C=C2)C(=O)C4=C(C3=O)C=CC5(C4(C(=O)CC(C5)(C)OC6C=CC(=O)C(O6)C)O)O)O)OC7C=CC(=O)C(O7)C	FPIKGAFXXMSOSP-UHFFFAOYSA-N	BGC0000268	NPA014552	Sch-47554						
Sch47555			BGC0000268			Sch-47555	CC1C(CCC(O1)OC2CCC(OC2C)C3=C(C4=C(C=C3)C(=O)C5=C(C4=O)C=C[C@]6([C@@]5(C(=O)C[C@](C6)(C)OC7C=CC(=O)C(O7)C)O)O)O)O	122719	https://doi.org/10.7164/antibiotics.46.861	Streptomyces sp. SCC-2136 (ATCC 55186)	
SF2575	C/C=C(\C)/C(=O)OC1C(OC(CC1O)C2=C(C3=C(C=C2)C(C4CC5C(C(=O)C(=C(C5(C(=O)C4=C3O)OC)O)C(=O)N)OC(=O)C6=CC=CC=C6O)(C)OC)O)C	WYRYRHFKSQKGHJ-FRKPEAEDSA-N	BGC0000269						https://doi.org/10.7164/antibiotics.45.325	Streptomyces sp. SF2575	
simocyclinone D8			BGC0000270	NPA008898	Simocyclinone D8						
spore pigment			BGC0000271								Can't help you here… (!)
Steffimycin D	CC1C(C(C(C(O1)OC2C(C(C(=O)C3=C2C(=C4C(=C3)C(=O)C5=CC(=CC(=C5C4=O)O)OC)O)(C)O)OC)OC)O)O	HWMJTJZEJBSVCG-UHFFFAOYSA-N	BGC0000273	NPA012312	Steffimycin D						
Tetarimycin A	OC1=CC(O)=C(C(C(C(C(C(C)=CC(O)=C2)=C2C3=O)=O)=C3C4(C)C)=O)C4=C1	XQMPGQHPYUKJDG-UHFFFAOYSA-N	BGC0000274	NPA007518	Tetarimycin A						
Tetarimycin B	OC1=CC(O)=C(C(C(C(O)=C(C(O)(C)CC(O)C2)C2=C3)=C3C4(C)C)=O)C4=C1	NUPKBVWVJRTNCS-UHFFFAOYSA-N	BGC0000274	NPA006659	Tetarimycin B						
tetracenomycin C	O[C@H]1[C@@]2(O)[C@@](C(C(C(O)=C(C(C)=C(C(OC)=O)C(OC)=C4)C4=C3)=C3C2=O)=O)(O)C(C=C1OC)=O	ULHJWHCSSAEMLW-UEVCKROQSA-N	BGC0000275								Isolation reference hard to find
Urdamycin A	C[C@@H]1O[C@H](CC[C@@H]1O)O[C@]12C(=O)C[C@](C)(O)C[C@@]1(O)C=CC1=C2C(=O)c2ccc([C@H]3C[C@@H](O[C@H]4CC[C@H](O[C@H]5C[C@@H](O)[C@H](O)[C@@H](C)O5)[C@H](C)O4)[C@H](O)[C@@H](C)O3)c(O)c2C1=O	FJSYXNOFZQFOAN-FXPMUEKOSA-N	BGC0000276						https://doi.org/10.7164/antibiotics.39.1657	Streptomyces fradiae strain Tü 2717	
Urdamycin A	C[C@@H]1O[C@H](CC[C@@H]1O)O[C@]12C(=O)C[C@](C)(O)C[C@@]1(O)C=CC1=C2C(=O)c2ccc([C@H]3C[C@@H](O[C@H]4CC[C@H](O[C@H]5C[C@@H](O)[C@H](O)[C@@H](C)O5)[C@H](C)O4)[C@H](O)[C@@H](C)O3)c(O)c2C1=O	FJSYXNOFZQFOAN-FXPMUEKOSA-N	BGC0000277						https://doi.org/10.7164/antibiotics.39.1658	Streptomyces fradiae strain Tü 2718	
xantholipin			BGC0000279	NPA003057	Xantholipin						
2,4-diacetylphloroglucinol	CC(=O)C1=C(C(=C(C=C1O)O)C(=O)C)O	PIFFQYJYNWXNGE-UHFFFAOYSA-N	BGC0000280						Shanahan, P., D. J. O’Sullivan, P. Simpson, J. D. Glennon, and F. O’Gara. 1992. Isolation of 2,4-diacetylphloroglucinol from a fluorescent pseudo- monad and investigation of physiological parameters influencing its produc- tion. Appl. Environ. Microbiol. 58:353–358. 	Pseudomonas sp.strain F113 	
2,4-Diacetylphloroglucinol	CC(=O)C1=C(C(=C(C=C1O)O)C(=O)C)O	PIFFQYJYNWXNGE-UHFFFAOYSA-N	BGC0000281						Shanahan, P., D. J. O’Sullivan, P. Simpson, J. D. Glennon, and F. O’Gara. 1992. Isolation of 2,4-diacetylphloroglucinol from a fluorescent pseudo- monad and investigation of physiological parameters influencing its produc- tion. Appl. Environ. Microbiol. 58:353–358. 	Pseudomonas sp.strain F114	
alkylresorcinol			BGC0000282								Not a compound name- this is a compound class
cetoniacytone A	OC[C@]12C(C=C(NC(C)=O)[C@H](O)[C@H]1O2)=O	JYYJQJKNUQRQSW-YIZRAAEISA-N	BGC0000283	NPA014963	Cetoniacytone A						
phenolic lipids			BGC0000284								Not a compound name- this is a compound class
Flaviolin rhamnoside	O=C1C=C(O)C(C2=CC(O[C@H]3O[C@H](C)[C@@H](O)[C@H](O)[C@@H]3O)=CC(O)=C21)=O	OVSHQZFCTMVIGN-NCEIQCSJSA-N	BGC0000285								Also plant NP- hard to find first microbial islation
3,3'-diflaviolin	O=C1C=C(O)C(C2=CC(O)=C(C3=C(O)C=C(C(C(O)=CC4=O)=O)C4=C3O)C(O)=C21)=O	GXAIIEQOZICWEL-UHFFFAOYSA-N	BGC0000285								Also plant NP- hard to find first microbial islation
Flaviolin	C1=C(C=C2C(=C1O)C(=CC(=O)C2=O)O)O	XNPCAGMCQDGQKK-UHFFFAOYSA-N	BGC0000285								Also plant NP- hard to find first microbial islation
viguiepinol	C[C@@]12CC[C@@H](C([C@H]1CC[C@@H]3C2=CC[C@](C3)(C)C=C)(C)C)O	HPFBDDHVNYWUGF-MFMLGXQFSA-N	BGC0000286						10.1128/JB.188.4.1236-1244.2006	Streptomyces sp. KO-3988	
2-amino-4-methoxy-trans-3-butenoic acid	CO/C=C/[C@@H](C(=O)O)N	HLOPMQJRUIOMJO-ZPYNKGFJSA-N	BGC0000287	NPA017445	L-2-Amino-4-methoxy-trans-3-butenoic acid						
A-503083 A	O=C1[C@@H](NC(C2=C[C@H](O)[C@H](O)[C@@H](O[C@@H](C(N)=O)[C@]3([H])[C@@H](OC)[C@@H](OC(N)=O)[C@H](N(C=C4)C(NC4=O)=O)O3)O2)=O)CCC[C@@H](C)N1	DSKGVLLYPPLLJF-FRDVDWTLSA-N	BGC0000288	NPA005142	A-503083 A						
A-503083 B	O=C1[C@@H](NC(C2=C[C@H](O)[C@H](O)[C@@H](O[C@@H](C(N)=O)[C@]3([H])[C@@H](OC)[C@@H](OC(N)=O)[C@H](N(C=C4)C(NC4=O)=O)O3)O2)=O)CCCCN1	LFWCXMYKHTWICM-YSJZXXSHSA-N	BGC0000288	NPA002482	A-503083 B						
A-503083 E	O=C(N([C@H]1[C@H](OC(N)=O)[C@H](OC)[C@@]([H])([C@H](C(N)=O)O[C@H]2OC(C(OC)=O)=C[C@H](O)[C@@H]2O)O1)C=C3)NC3=O	YPTJPYWKFYBXSN-SEVCBTJVSA-N	BGC0000288	NPA006239	A-503083 E						
A-503083 F	O=C(N([C@H]1[C@H](OC(N)=O)[C@H](OC)[C@@]([H])([C@H](C(N)=O)O[C@H]2OC(C(O)=O)=C[C@H](O)[C@@H]2O)O1)C=C3)NC3=O	RNRCUOCMUNIOMZ-UXNCIELQSA-N	BGC0000288	NPA000003	A-503083 F						
A-40926 A			BGC0000289			A-40926 A	CCCCCCCCCCC(N[C@@H]1[C@@H](O)[C@H](O)[C@@H](C(O)=O)O[C@H]1OC2=C3C=C4C=C2OC5=C(Cl)C=C([C@@H](O)[C@H]6C(N[C@H](C(O)=O)C7=CC(O)=CC(O[C@@H]8[C@@H](O)[C@@H](O)[C@H](O)[C@@H](CO)O8)=C7C9=C(O)C=CC([C@@H](NC([C@@H]4NC([C@@H]%10C%11=CC(OC%12=C(O)C=CC([C@@H](NC)C(N[C@@H](C(N%10)=O)CC%13=CC=C(C=C%13)O3)=O)=C%12)=CC(O)=C%11Cl)=O)=O)C(N6)=O)=C9)=O)C=C5)=O		10.1128/AAC.31.12.1961	Actinomadura sp. ATCC 39727	
A-40926 B			BGC0000289			A-40926 B	CC(C)CCCCCCCCC(N[C@@H]1[C@@H](O)[C@H](O)[C@@H](C(O)=O)O[C@H]1OC2=C3C=C4C=C2OC5=C(Cl)C=C([C@@H](O)[C@H]6C(N[C@H](C(O)=O)C7=CC(O)=CC(O[C@@H]8[C@@H](O)[C@@H](O)[C@H](O)[C@@H](CO)O8)=C7C9=C(O)C=CC([C@@H](NC([C@@H]4NC([C@@H]%10C%11=CC(OC%12=C(O)C=CC([C@@H](NC)C(N[C@@H](C(N%10)=O)CC%13=CC=C(C=C%13)O3)=O)=C%12)=CC(O)=C%11Cl)=O)=O)C(N6)=O)=C9)=O)C=C5)=O		10.1128/AAC.31.12.1961	Actinomadura sp. ATCC 39727	
A-40926 PA			BGC0000289			A-40926 PA	CCCCCCCCCCC(N[C@@H]1[C@@H](O)[C@H](O)[C@@H](C(O)=O)O[C@H]1OC2=C3C=C4C=C2OC5=C(Cl)C=C([C@@H](O)[C@H]6C(N[C@H](C(O)=O)C7=CC(O)=CC(O[C@@H]8[C@@H](O)[C@@H](O)[C@H](O)[C@@H](COC(C)=O)O8)=C7C9=C(O)C=CC([C@@H](NC([C@@H]4NC([C@@H]%10C%11=CC(OC%12=C(O)C=CC([C@@H](NC)C(N[C@@H](C(N%10)=O)CC%13=CC=C(C=C%13)O3)=O)=C%12)=CC(O)=C%11Cl)=O)=O)C(N6)=O)=C9)=O)C=C5)=O		10.1128/AAC.31.12.1961	Actinomadura sp. ATCC 39727	
A-40926 PB			BGC0000289			A-40926 PB	CC(C)CCCCCCCCC(N[C@@H]1[C@@H](O)[C@H](O)[C@@H](C(O)=O)O[C@H]1OC2=C3C=C4C=C2OC5=C(Cl)C=C([C@@H](O)[C@H]6C(N[C@H](C(O)=O)C7=CC(O)=CC(O[C@@H]8[C@@H](O)[C@@H](O)[C@H](O)[C@@H](COC(C)=O)O8)=C7C9=C(O)C=CC([C@@H](NC([C@@H]4NC([C@@H]%10C%11=CC(OC%12=C(O)C=CC([C@@H](NC)C(N[C@@H](C(N%10)=O)CC%13=CC=C(C=C%13)O3)=O)=C%12)=CC(O)=C%11Cl)=O)=O)C(N6)=O)=C9)=O)C=C5)=O		10.1128/AAC.31.12.1961	Actinomadura sp. ATCC 39727	
A47934	C1[C@@H]2C(=O)N[C@@H](C3=CC(=CC(=C3)O)OC4=C(C=CC(=C4)[C@H](C(=O)N2)N)OS(=O)(=O)O)C(=O)N[C@@H]5C6=CC(=C(C(=C6)OC7=C(C=C(C=C7)[C@H]([C@H]8C(=O)N[C@@H](C9=CC(=CC(=C9C2=CC(=CC(=C2O)Cl)[C@H](C(=O)N8)NC5=O)O)O)C(=O)O)O)Cl)O)OC2=C(C=C1C=C2)Cl	HRGFAEUWEMDRRZ-QLRHZSCISA-N	BGC0000290	NPA014694	A-47934						
A-54145 A			BGC0000291			A-54145 A	CC(C)CCCCCCC(N[C@H](C(N[C@@H](C(N[C@H](C(N[C@H]1[C@@H](C)OC([C@H]([C@H](CC)C)NC([C@H](CCC(O)=O)NC([C@@H](CC(N)=O)NC(CNC([C@H]([C@@H](OC)C(O)=O)NC([C@@H](CCCCN)NC([C@H](CC(O)=O)NC([C@H](C)NC(CN(C)C1=O)=O)=O)=O)=O)=O)=O)=O)=O)=O)=O)[C@@H](O)C(N)=O)=O)CCC(O)=O)=O)CC2=CNC3=CC=CC=C32)=O		https://doi.org/10.7164/antibiotics.43.594	Streptomyces fradiae	
A-54145 A1			BGC0000291			A-54145 A1	O=C(N[C@H](C(N[C@@H](C(N[C@H](C(N[C@H]1[C@@H](C)OC([C@H]([C@H](CC)C)NC([C@H](CCC(O)=O)NC([C@@H](CC(N)=O)NC(CNC([C@H]([C@@H](OC)C(O)=O)NC([C@@H](CCCCN)NC([C@H](CC(O)=O)NC([C@H](C)NC(CN(C)C1=O)=O)=O)=O)=O)=O)=O)=O)=O)=O)=O)[C@@H](O)C(N)=O)=O)CCC(O)=O)=O)CC2=CNC3=CC=CC=C32)CCCCCCCCC		https://doi.org/10.7164/antibiotics.43.594	Streptomyces fradiae	
A-54145 B			BGC0000291			A-54145 B	CCCCCCCCCC(N[C@H](C(N[C@@H](C(N[C@H](C(N[C@H]1[C@@H](C)OC([C@H]([C@H](CC)C)NC([C@H]([C@@H](CC(O)=O)C)NC([C@@H](CC(N)=O)NC(CNC([C@H]([C@@H](OC)C(O)=O)NC([C@@H](CCCCN)NC([C@H](CC(O)=O)NC([C@H](C)NC(CN(C)C1=O)=O)=O)=O)=O)=O)=O)=O)=O)=O)=O)[C@@H](O)C(N)=O)=O)CCC(O)=O)=O)CC2=CNC3=CC=CC=C32)=O		https://doi.org/10.7164/antibiotics.43.594	Streptomyces fradiae	
A-54145 B1			BGC0000291			A-54145 B1	CC(C)CCCCCCC(N[C@H](C(N[C@@H](C(N[C@H](C(N[C@H]1[C@@H](C)OC([C@H]([C@H](CC)C)NC([C@H]([C@@H](CC(O)=O)C)NC([C@@H](CC(N)=O)NC(CNC([C@H]([C@@H](OC)C(O)=O)NC([C@@H](CCCCN)NC([C@H](CC(O)=O)NC([C@H](C)NC(CN(C)C1=O)=O)=O)=O)=O)=O)=O)=O)=O)=O)=O)[C@@H](O)C(N)=O)=O)CCC(O)=O)=O)CC2=CNC3=CC=CC=C32)=O		https://doi.org/10.7164/antibiotics.43.594	Streptomyces fradiae	
A-54145 C			BGC0000291			A-54145 C	O=C(N[C@H](C(N[C@@H](C(N[C@H](C(N[C@H]1[C@@H](C)OC([C@H](C(C)C)NC([C@H]([C@H](C)CC(O)=O)NC([C@@H](CC(N)=O)NC(CNC([C@H]([C@@H](OC)C(O)=O)NC([C@@H](CCCCN)NC([C@H](CC(O)=O)NC([C@H](C)NC(CN(C)C1=O)=O)=O)=O)=O)=O)=O)=O)=O)=O)=O)[C@@H](O)C(N)=O)=O)CCC(O)=O)=O)CC2=CNC3=CC=CC=C32)CCCCCCC(C)CC		https://doi.org/10.7164/antibiotics.43.594	Streptomyces fradiae	
A-54145 D			BGC0000291			A-54145 D	O=C(N[C@H](C(N[C@@H](C(N[C@H](C(N[C@H]1[C@@H](C)OC([C@H]([C@H](CC)C)NC([C@H](CCC(O)=O)NC([C@@H](CC(N)=O)NC(CNC([C@H]([C@@H](OC)C(O)=O)NC([C@@H](CCCCN)NC([C@H](CC(O)=O)NC([C@H](C)NC(CN(C)C1=O)=O)=O)=O)=O)=O)=O)=O)=O)=O)=O)[C@@H](O)C(N)=O)=O)CCC(O)=O)=O)CC2=CNC3=CC=CC=C32)CCCCCCC(C)CC		https://doi.org/10.7164/antibiotics.43.594	Streptomyces fradiae	
A-54145 E			BGC0000291			A-54145 E	O=C(N[C@H](C(N[C@@H](C(N[C@H](C(N[C@H]1[C@@H](C)OC([C@H]([C@H](CC)C)NC([C@H]([C@H](C)CC(O)=O)NC([C@@H](CC(N)=O)NC(CNC([C@H]([C@@H](OC)C(O)=O)NC([C@@H](CCCCN)NC([C@H](CC(O)=O)NC([C@H](C)NC(CN(C)C1=O)=O)=O)=O)=O)=O)=O)=O)=O)=O)=O)[C@@H](O)C(N)=O)=O)CCC(O)=O)=O)CC2=CNC3=CC=CC=C32)CCCCCCC(C)CC		https://doi.org/10.7164/antibiotics.43.594	Streptomyces fradiae	
A-54145 F			BGC0000291			A-54145 F	CC(C)CCCCCCC(N[C@H](C(N[C@@H](C(N[C@H](C(N[C@H]1[C@@H](C)OC([C@H](C(C)C)NC([C@H](CCC(O)=O)NC([C@@H](CC(N)=O)NC(CNC([C@H]([C@@H](OC)C(O)=O)NC([C@@H](CCCCN)NC([C@H](CC(O)=O)NC([C@H](C)NC(CN(C)C1=O)=O)=O)=O)=O)=O)=O)=O)=O)=O)=O)[C@@H](O)C(N)=O)=O)CCC(O)=O)=O)CC2=CNC3=CC=CC=C32)=O		https://doi.org/10.7164/antibiotics.43.594	Streptomyces fradiae	
acetylaranotin	CC(=O)OC1C=COC=C2C1N3C(=O)C45CC6=COC=CC(C6N4C(=O)C3(C2)SS5)OC(=O)C	OHTZNUUGYPDWEB-UHFFFAOYSA-N	BGC0000292						https://doi.org/10.1271/bbb1961.47.2637	Aspergillus terreus 	
acetylaszonalenin			BGC0000293			acetylaszonalenin	CC(=O)N1[C@H]2[C@](C[C@H]3N2C(=O)C4=CC=CC=C4NC3=O)(C5=CC=CC=C51)C(C)(C)C=C	102032591	10.1021/jo00963a024	Aspergillus sp.	Originally named LL-S490.beta
acinetobactin 	C[C@@H]1[C@@H](N/C(=C/2\C=CC=C(C2=O)O)/O1)C(=O)N(CCC3=CN=CN3)O	DYESEQWBWHUEDV-PVBSNRTBSA-N	BGC0000294	NPA018669	Acinetobactin						
acinetoferrin			BGC0000295	NPA010195	Acinetoferrin						
actinomycin D	CC1C(C(=O)NC(C(=O)N2CCCC2C(=O)N(CC(=O)N(C(C(=O)O1)C(C)C)C)C)C(C)C)NC(=O)C3=C4C(=C(C=C3)C)OC5=C(C(=O)C(=C(C5=N4)C(=O)NC6C(OC(=O)C(N(C(=O)CN(C(=O)C7CCCN7C(=O)C(NC6=O)C(C)C)C)C)C(C)C)C)N)C	RJURFGZVJUQBHK-UHFFFAOYSA-N	BGC0000296	NPA007563	Actinomycin D						
Aeruginoside 126B	O=C([C@@H](CC(C)C)NC([C@@H](CC1=CC=CC=C1)O)=O)N2[C@H]3C[C@H](OC4OCC(O)C(O)C4O)CC[C@H]3C[C@H]2C(NCCCCNC(N)=N)=O	JUHSPAYJBZKQRH-UVOPMWESSA-N	BGC0000297	NPA008514	Aeruginoside 126B						
Aeruginoside 126A	O=C([C@@H](CC(C)C)NC([C@@H](CC1=CC=CC=C1)O)=O)N2[C@H]3C[C@H](OC4OCC(O)C(O)C4O)CC[C@H]3C[C@H]2C(NCCC5=CCN(C(N)=N)C5)=O	ZLUQPKGCJYFQGT-YJVKJUGDSA-N	BGC0000297	NPA006922	Aeruginoside 126A						
Aeruginosin 98-A			BGC0000298	NPA017786	Aeruginosin 98-A						
Aeruginosin 98-B	CC[C@@H](C)[C@H](C(=O)N1[C@H]2C[C@@H](CC[C@H]2C[C@H]1C(=O)NCCCCN=C(N)N)OS(=O)(=O)O)NC(=O)[C@@H](CC3=CC=C(C=C3)O)O	WZVRXEOKWMIDDV-HTKJFTDNSA-N	BGC0000298	NPA009195	Aeruginosin 98-B						
Aeruginosin 98-C			BGC0000298	NPA001072	Aeruginosin 98-C						
alterochromide A			BGC0000299				C[C@H](CC)[C@@H]1NC([C@@H](NC([C@@H](NC([C@H](C(C)C)NC([C@H]([C@H](OC1=O)C)NC(/C=C/C=C/C=C/C=C/C2=CC=C(C=C2)O)=O)=O)=O)CC(N)=O)=O)CC(N)=O)=O		10.1021/sb500280q	Pseudoalteromonas piscicida JCM 20779 	Probably not the original isolation reference, but real original very hard to find. Note that this reference has all the configurations screwed up.
bromoalterochromide A			BGC0000299	NPA008432	Bromoalterochromide A						
dibromoalterochromide A			BGC0000299				C[C@H](CC)[C@@H]1NC([C@@H](NC([C@@H](NC([C@H](C(C)C)NC([C@H]([C@H](OC1=O)C)NC(/C=C/C=C/C=C/C=C/C2=CC(Br)=C(C(Br)=C2)O)=O)=O)=O)CC(N)=O)=O)CC(N)=O)=O		10.1021/sb500280q	Pseudoalteromonas piscicida JCM 20779 	Note that this reference has all the configurations screwed up. These structures are correct per original isolation paper for the series.
alterochromide B			BGC0000299				C[C@H](CC)[C@@H]1NC([C@@H](NC([C@@H](NC([C@H](C(C)C)NC([C@H]([C@H](OC1=O)C)NC(/C=C/C=C/C=C/C=C/C=C/C2=CC=C(C=C2)O)=O)=O)=O)CC(N)=O)=O)CC(N)=O)=O		10.1021/sb500280q	Pseudoalteromonas piscicida JCM 20779 	Probably not the original isolation reference, but real original very hard to find. Note that this reference has all the configurations screwed up.
bromoalterochromide B			BGC0000299				C[C@H](CC)[C@@H]1NC([C@@H](NC([C@@H](NC([C@H](C(C)C)NC([C@H]([C@H](OC1=O)C)NC(/C=C/C=C/C=C/C=C/C=C/C2=CC=C(C(Br)=C2)O)=O)=O)=O)CC(N)=O)=O)CC(N)=O)=O		10.1021/sb500280q	Pseudoalteromonas piscicida JCM 20779 	Note that this reference has all the configurations screwed up. These structures are correct per original isolation paper for the series.
dibromoalterochromide B			BGC0000299				C[C@H](CC)[C@@H]1NC([C@@H](NC([C@@H](NC([C@H](C(C)C)NC([C@H]([C@H](OC1=O)C)NC(/C=C/C=C/C=C/C=C/C=C/C2=CC(Br)=C(C(Br)=C2)O)=O)=O)=O)CC(N)=O)=O)CC(N)=O)=O		10.1021/sb500280q	Pseudoalteromonas piscicida JCM 20779 	Note that this reference has all the configurations screwed up. These structures are correct per original isolation paper for the series.
alterochromide A'			BGC0000299				O=C([C@@H](NC([C@@H](NC([C@H](C(C)C)NC([C@H]([C@H](OC1=O)C)NC(/C=C/C=C/C=C/C=C/C2=CC=C(C=C2)O)=O)=O)=O)CC(N)=O)=O)CC(N)=O)N[C@H]1CC(C)C		10.1021/sb500280q	Pseudoalteromonas piscicida JCM 20779 	Note that this reference has all the configurations screwed up. These structures are correct per original isolation paper for the series.
bromoalterochromide A'			BGC0000299	NPA005881	Bromoalterochromide A'						
dibromoalterochromide A'			BGC0000299				O=C([C@@H](NC([C@@H](NC([C@H](C(C)C)NC([C@H]([C@H](OC1=O)C)NC(/C=C/C=C/C=C/C=C/C2=CC(Br)=C(C(Br)=C2)O)=O)=O)=O)CC(N)=O)=O)CC(N)=O)N[C@H]1CC(C)C		10.1021/sb500280q	Pseudoalteromonas piscicida JCM 20779 	Note that this reference has all the configurations screwed up. These structures are correct per original isolation paper for the series.
